Client,Date,Title,Category,Hours,CategoryCap,DailyTotal,Flags,Reasons,Why_Flagged,Title_Must_Include,Good_Title_At_Cap,Good_Title_To_Justify_Your_Hours
ORX,2026-01-21,Server pending for updates and reboot after APD,Routine: Patch management / Windows Update,2.67,1.5,3.28,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.67h is well above the 1.5h normal — title MUST justify the extra time.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-02-01,System pending for updates and after APD,Routine: Patch management / Windows Update,2.5,1.5,2.5,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.50h is well above the 1.5h normal — title MUST justify the extra time.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-01-22,Server pending for updates and reboot after APD,Routine: Patch management / Windows Update,2.33,1.5,2.33,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.33h is well above the 1.5h normal — title MUST justify the extra time.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-02-14,ORX Servers pending for reboot after APD,Routine: Patch management / Windows Update,2.33,1.5,2.33,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.33h is well above the 1.5h normal — title MUST justify the extra time.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-01-18,Server updates pending and pending for reboot after APD,Routine: Patch management / Windows Update,2.0,1.5,2.0,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-01-19,Server pending for for updates and reboot after APD,Routine: Patch management / Windows Update,2.0,1.5,2.0,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-02-04,Server pending for updates and  reboot after APD,Routine: Patch management / Windows Update,2.0,1.5,3.0,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
VAF,2026-02-04,Server pending for updates and  reboot after APD,Routine: Patch management / Windows Update,2.0,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-02-11,"Failed patches updated on machine WKORX55, WKORX15, WKORX-03, WKORX-08, WKORX-07, WKORX-10, WKORX-09, WKORX54",Routine: Patch management / Windows Update,2.0,1.5,2.0,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
VAF,2026-04-02,"Upgrade VMWare tools - VAF-DC-3CX-01, VAF-DC-AD-01, VAF-DC-FS-01, VAF-DC-FS-02, VAF-DC-OPSPRB.",Routine: Phone / Voice / Teams,2.0,1.5,2.0,H1,routine > 1.5h cap (Phone / Voice / Teams),Your 2.00h is above the 1.5h normal cap for this category — title needs more detail.,"platform (RingCentral / Teams / 3CX), action (extension move, DID provision, license)","RingCentral extension move for new hire, voicemail verified","RingCentral migration for 3 users — re-provisioned extensions, ported DIDs, configured call queue, end-user training session (~3h)"
BST,2026-02-24,BST Servers pending for reboot after APD,Routine: Patch management / Windows Update,1.9,1.5,1.9,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.90h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
BST,2026-02-14,BST Servers pending for reboot after APD,Routine: Patch management / Windows Update,1.83,1.5,1.83,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.83h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
BWH,2026-02-14,BWH Servers pending for reboot after APD,Routine: Patch management / Windows Update,1.83,1.5,1.83,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.83h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-04-02,"MyRMM Manage-Engine Latest version (11.5.2600.32.W) updated:- ORX-DC-3CX-01, ORX-DC-AD-03, ORX-DC-AD-04, ORX-DC-FS-01, ORX-DC-FS-02, OXPLIVE",Routine: MyRMM / ManageEngine agent updates,1.75,1.5,1.75,H1,routine > 1.5h cap (MyRMM / ManageEngine agent updates),Your 1.75h is above the 1.5h normal cap for this category — title needs more detail.,"version, machine count, any not-syncing follow-ups",ManageEngine 11.3.4.W push — 12 endpoints synced,"ManageEngine 11.3.4.W push — 28 endpoints; 6 stuck not-syncing, manually re-registered, validated check-in on portal (~3h)"
ORX,2026-04-04,"CrowdStrike Sensor Updated with Version 7.35.20709.0: ORX-DC-APP-01, ORX-DC-IIS1, ORX-DC-IIS2, ORX-DC-OPSPRB, ORX-DC-SFTP-01, ORX-DC-SQL-01",Routine: CrowdStrike / EDR agent updates,1.75,1.5,1.75,H1,routine > 1.5h cap (CrowdStrike / EDR agent updates),Your 1.75h is above the 1.5h normal cap for this category — title needs more detail.,"version installed, machine count, any prevention-policy issues",CrowdStrike 7.18 deployed to 18 machines — sensors green,"CrowdStrike 7.18 deploy — 35 machines; 5 hung at install due to legacy McAfee remnants, ran McAfee removal tool then re-pushed; sensors all reporting (~3h)"
BWH,2026-01-19,Server pending for updates and reboot after APD,Routine: Patch management / Windows Update,1.67,1.5,1.67,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.67h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-01-28,Server pending for updates after APD,Routine: Patch management / Windows Update,1.67,1.5,1.67,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.67h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-04-16,"Upgrade VMWare tools - ORX-DC-OPSPRB, ORX-DC-APP-01, ORX-DC-3CX.",Routine: Phone / Voice / Teams,1.67,1.5,1.67,H1,routine > 1.5h cap (Phone / Voice / Teams),Your 1.67h is above the 1.5h normal cap for this category — title needs more detail.,"platform (RingCentral / Teams / 3CX), action (extension move, DID provision, license)","RingCentral extension move for new hire, voicemail verified","RingCentral migration for 3 users — re-provisioned extensions, ported DIDs, configured call queue, end-user training session (~3h)"
VAF,2026-04-16,"CrowdStrike Sensor Updated with Version 7.36.20805.0: VAF-DC-SQL-01, VAF-DC-TS-01, VAF-DC-TSVDI-GI, VAF-HQ-LT-04, VAF-HQ-LT-05, VAF-HQ-LT-07",Routine: CrowdStrike / EDR agent updates,1.63,1.5,1.63,H1,routine > 1.5h cap (CrowdStrike / EDR agent updates),Your 1.63h is above the 1.5h normal cap for this category — title needs more detail.,"version installed, machine count, any prevention-policy issues",CrowdStrike 7.18 deployed to 18 machines — sensors green,"CrowdStrike 7.18 deploy — 35 machines; 5 hung at install due to legacy McAfee remnants, ran McAfee removal tool then re-pushed; sensors all reporting (~3h)"
JDH,2026-02-18,Work on the servers & firewall as all the servers were offline.,Routine: Monitoring alert — device down / offline,1.5,0.75,1.5,H1,routine > 0.75h cap (Monitoring alert — device down / offline),Your 1.50h is well above the 0.8h normal — title MUST justify the extra time.,"what diagnosis was performed (ping, console, UPS, WAN check) and resolution","Device down alert on RA01 — verified ping, agent reconnected after reboot","RA01 down — pinged offline 20 min, attempted IPMI console (no response), drove user through power-cycle, agent reconnected, ran Veeam re-test (~1.5h)"
ORX,2026-03-24,"My Remote version 26.1.20.9571 updated on machine WKORX-08,WKORX-09,WKORX-07,WKORX-05",Routine: ScreenConnect / MyRemote updates,1.25,1.0,1.25,H1,routine > 1.0h cap (ScreenConnect / MyRemote updates),Your 1.25h is above the 1.0h normal cap for this category — title needs more detail.,machine count and any failed deployments,"ScreenConnect 24.5 push — 14 endpoints, all current",ScreenConnect 24.5 push — 22 endpoints; 4 required service-stop and manual reinstall after upgrade hang; verified version on dashboard (~2h)
JDH,2026-03-26,My Remote version 26.1.20.9573 updated on JDH Servers,Routine: ScreenConnect / MyRemote updates,1.25,1.0,1.25,H1,routine > 1.0h cap (ScreenConnect / MyRemote updates),Your 1.25h is above the 1.0h normal cap for this category — title needs more detail.,machine count and any failed deployments,"ScreenConnect 24.5 push — 14 endpoints, all current",ScreenConnect 24.5 push — 22 endpoints; 4 required service-stop and manual reinstall after upgrade hang; verified version on dashboard (~2h)
BST,2026-02-16,"My Remote version 25.9.9.9533 updated on machine BST-HQ-AD-01,BST-HQ-AD-02,BST-HQ-APP-01,BST-HQ-FS-01",Routine: ScreenConnect / MyRemote updates,1.08,1.0,1.08,H1,routine > 1.0h cap (ScreenConnect / MyRemote updates),Your 1.08h is above the 1.0h normal cap for this category — title needs more detail.,machine count and any failed deployments,"ScreenConnect 24.5 push — 14 endpoints, all current",ScreenConnect 24.5 push — 22 endpoints; 4 required service-stop and manual reinstall after upgrade hang; verified version on dashboard (~2h)
VAF,2026-04-09,"Screenconnect Latest version  (V 26.1.25.9592)  updated on machine VAF-DC-3CX-01, VAF-DC-AD-01, VAF-DC-FS-01, VAF-DC-FS-02",Routine: ScreenConnect / MyRemote updates,1.08,1.0,1.08,H1,routine > 1.0h cap (ScreenConnect / MyRemote updates),Your 1.08h is above the 1.0h normal cap for this category — title needs more detail.,machine count and any failed deployments,"ScreenConnect 24.5 push — 14 endpoints, all current",ScreenConnect 24.5 push — 22 endpoints; 4 required service-stop and manual reinstall after upgrade hang; verified version on dashboard (~2h)
