Client,Date,Title,Category,Hours,CategoryCap,DailyTotal,Flags,Reasons,Why_Flagged,Title_Must_Include,Good_Title_At_Cap,Good_Title_To_Justify_Your_Hours
CAM,2026-01-23,Arc from Cam called in regarding the 3cx set-up,Routine: Phone / Voice / Teams,2.17,1.5,2.17,H1,routine > 1.5h cap (Phone / Voice / Teams),Your 2.17h is above the 1.5h normal cap for this category — title needs more detail.,"platform (RingCentral / Teams / 3CX), action (extension move, DID provision, license)","RingCentral extension move for new hire, voicemail verified","RingCentral migration for 3 users — re-provisioned extensions, ported DIDs, configured call queue, end-user training session (~3h)"
ORX,2026-03-12,ORX Servers pending for reboot after APD,Routine: Patch management / Windows Update,1.58,1.5,2.75,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.58h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-02-17,My Remote version 25.9.9.9533 updated on ORX Servers,Routine: ScreenConnect / MyRemote updates,1.17,1.0,1.95,H1,routine > 1.0h cap (ScreenConnect / MyRemote updates),Your 1.17h is above the 1.0h normal cap for this category — title needs more detail.,machine count and any failed deployments,"ScreenConnect 24.5 push — 14 endpoints, all current",ScreenConnect 24.5 push — 22 endpoints; 4 required service-stop and manual reinstall after upgrade hang; verified version on dashboard (~2h)
BWH,2026-02-18,My Remote version 25.9.9.9533 updated on BWH Servers,Routine: ScreenConnect / MyRemote updates,1.08,1.0,1.08,H1,routine > 1.0h cap (ScreenConnect / MyRemote updates),Your 1.08h is above the 1.0h normal cap for this category — title needs more detail.,machine count and any failed deployments,"ScreenConnect 24.5 push — 14 endpoints, all current",ScreenConnect 24.5 push — 22 endpoints; 4 required service-stop and manual reinstall after upgrade hang; verified version on dashboard (~2h)
ORX,2026-03-17,DESKTOP Alert - Critical - WKORX43 Disk Utilization,Routine: Monitoring alert — CPU / memory / disk,1.0,0.75,2.58,H1,routine > 0.75h cap (Monitoring alert — CPU / memory / disk),Your 1.00h is above the 0.8h normal cap for this category — title needs more detail.,process or workload identified as the cause and what action you took,"CPU alert on BWWS012 — checked task manager, transient AV scan, cleared","Critical CPU on BWH-HQ-VBR-01 — investigated runaway veeam.backup.shell process, restarted VBR services, opened Veeam ticket #4421, monitored 30 min for recurrence (~1.5h)"
VAF,2026-04-17,"SERVER Alert - Trouble - VAF-DC-TSVDI-GI: (10.100.103.65) - Disk Utilization is 95%, threshold value for this monitor is 60%",Routine: Monitoring alert — CPU / memory / disk,1.0,0.75,1.0,H1,routine > 0.75h cap (Monitoring alert — CPU / memory / disk),Your 1.00h is above the 0.8h normal cap for this category — title needs more detail.,process or workload identified as the cause and what action you took,"CPU alert on BWWS012 — checked task manager, transient AV scan, cleared","Critical CPU on BWH-HQ-VBR-01 — investigated runaway veeam.backup.shell process, restarted VBR services, opened Veeam ticket #4421, monitored 30 min for recurrence (~1.5h)"
JDH,2026-03-25,"SERVER Alert - Trouble - JDH-HQ-VONE: (10.0.0.155) - Disk Utilization is 70%, threshold value for this monitor is 60%",Routine: Monitoring alert — CPU / memory / disk,0.98,0.75,0.98,H1,routine > 0.75h cap (Monitoring alert — CPU / memory / disk),Your 0.98h is above the 0.8h normal cap for this category — title needs more detail.,process or workload identified as the cause and what action you took,"CPU alert on BWWS012 — checked task manager, transient AV scan, cleared","Critical CPU on BWH-HQ-VBR-01 — investigated runaway veeam.backup.shell process, restarted VBR services, opened Veeam ticket #4421, monitored 30 min for recurrence (~1.5h)"
ANI,2026-03-26,"SERVER Alert - Trouble - ANI-HQ-VONE: (10.5.5.89) - Disk Utilization is 68%, threshold value for this monitor is 60%",Routine: Monitoring alert — CPU / memory / disk,0.92,0.75,0.92,H1,routine > 0.75h cap (Monitoring alert — CPU / memory / disk),Your 0.92h is above the 0.8h normal cap for this category — title needs more detail.,process or workload identified as the cause and what action you took,"CPU alert on BWWS012 — checked task manager, transient AV scan, cleared","Critical CPU on BWH-HQ-VBR-01 — investigated runaway veeam.backup.shell process, restarted VBR services, opened Veeam ticket #4421, monitored 30 min for recurrence (~1.5h)"
BST,2026-03-26,"SERVER Alert - Trouble - BST-HQ-VONE: (10.1.1.29) - Disk Utilization is 72%, threshold value for this monitor is 60%",Routine: Monitoring alert — CPU / memory / disk,0.92,0.75,0.92,H1,routine > 0.75h cap (Monitoring alert — CPU / memory / disk),Your 0.92h is above the 0.8h normal cap for this category — title needs more detail.,process or workload identified as the cause and what action you took,"CPU alert on BWWS012 — checked task manager, transient AV scan, cleared","Critical CPU on BWH-HQ-VBR-01 — investigated runaway veeam.backup.shell process, restarted VBR services, opened Veeam ticket #4421, monitored 30 min for recurrence (~1.5h)"
ORX,2026-02-02,"SERVER Alert - Critical - ORX-DC-AD-03.isi.local: (10.100.106.51) - Disk Utilization is 100%, threshold value for this monitor is 90%",Routine: Monitoring alert — CPU / memory / disk,0.87,0.75,2.74,H1,routine > 0.75h cap (Monitoring alert — CPU / memory / disk),Your 0.87h is above the 0.8h normal cap for this category — title needs more detail.,process or workload identified as the cause and what action you took,"CPU alert on BWWS012 — checked task manager, transient AV scan, cleared","Critical CPU on BWH-HQ-VBR-01 — investigated runaway veeam.backup.shell process, restarted VBR services, opened Veeam ticket #4421, monitored 30 min for recurrence (~1.5h)"
