Client,Date,Title,Category,Hours,CategoryCap,DailyTotal,Flags,Reasons,Why_Flagged,Title_Must_Include,Good_Title_At_Cap,Good_Title_To_Justify_Your_Hours
ORX,2026-01-28,TRYING TO OBTAIN VOICEMAIL FROM PHONE,Routine: Phone / Voice / Teams,2.5,1.5,4.23,H1,routine > 1.5h cap (Phone / Voice / Teams),Your 2.50h is well above the 1.5h normal — title MUST justify the extra time.,"platform (RingCentral / Teams / 3CX), action (extension move, DID provision, license)","RingCentral extension move for new hire, voicemail verified","RingCentral migration for 3 users — re-provisioned extensions, ported DIDs, configured call queue, end-user training session (~3h)"
BST,2026-02-22,"Device Non-Compliant Due to Missing Patches- BST-HQ-AD-01, BST-HQ-AD-02, BST-HQ-FS-01, BST-HQ-FS-02, BST-HQ-VBR-01.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ANI,2026-03-08,"Device Non-Compliant Due to Missing Patches-  ANI-HQ-OPSPRB-01, ANI-HQ-VBR-02, ANI-HQ-VONE, VMANIDC02, VMANIFS-01, VMANIFS-02.",Routine: Patch management / Windows Update,2.25,1.5,3.5,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
VAF,2026-03-11,"Device Non-Compliant Due to Missing Patches- VAF-DC-3CX-01, VAF-DC-AD-01, VAF-DC-FS-01, VAF-DC-FS-02.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
VAF,2026-03-12,"Device Non-Compliant Due to Missing Patches- VAF-DC-OPSPRB, VAF-DC-SFTP-02, VAF-DC-SQL-01, VAF-DC-TS-01, VAF-DC-TSVDI-GI.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-03-15,"Device Non-Compliant Due to Missing Patches-  ORX-DC-3CX-01, ORX-DC-AD-03, ORX-DC-AD-04, ORX-DC-APP-01, ORX-DC-APP-04, ORX-DC-FS-01.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
VG,2026-03-17,Update 3cx version 20 to the latest release update.,Routine: Phone / Voice / Teams,2.25,1.5,2.25,H1,routine > 1.5h cap (Phone / Voice / Teams),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"platform (RingCentral / Teams / 3CX), action (extension move, DID provision, license)","RingCentral extension move for new hire, voicemail verified","RingCentral migration for 3 users — re-provisioned extensions, ported DIDs, configured call queue, end-user training session (~3h)"
ORX,2026-03-29,"Device Non-Compliant Due to Missing Patches-  ORX-DC-3CX-01, ORX-DC-AD-03, ORX-DC-AD-04, ORX-DC-APP-01.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-03-30,"Device Non-Compliant Due to Missing Patches-  ORX-DC-SFTP-01, ORX-DC-SQL-01, ORX-DC-SQL-02, ORX-DC-SQL-03, ORX-DC-TS-03.",Routine: Patch management / Windows Update,2.25,1.5,5.5,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-04-05,"Device Non-Compliant Due to Missing Patches-  ORX-DC-AD-03, ORX-DC-AD-04, ORX-DC-FS-01, ORX-DC-IIS2, ORX-DC-OPSPRB.",Routine: Patch management / Windows Update,2.25,1.5,2.25,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.25h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
