Client,Date,Title,Category,Hours,CategoryCap,DailyTotal,Flags,Reasons,Why_Flagged,Title_Must_Include,Good_Title_At_Cap,Good_Title_To_Justify_Your_Hours
DTS,2026-01-30,Email Forwarding Setup and Configuration,Routine: Email / Outlook / spam,2.43,1.5,2.43,H1,routine > 1.5h cap (Email / Outlook / spam),Your 2.43h is well above the 1.5h normal — title MUST justify the extra time.,"what specific Outlook / Exchange action (profile rebuild, OST recreate, mail flow trace)","Outlook prompting for credentials — cleared cached creds, profile reconnected","Outlook profile broken on K. Lee — rebuilt MAPI profile, OST recreate (8GB resync), validated PSTs imported, calendar permissions restored (~3h)"
BWH,2026-04-02,RE: HELP Urgent,Routine: Generic help / support,2.4,1.5,2.4,H1,routine > 1.5h cap (Generic help / support),Your 2.40h is well above the 1.5h normal — title MUST justify the extra time.,"must be replaced — ""Help"" / ""Support"" alone is never acceptable on entries > 0.5h. Title must say WHO you helped and WHAT was done.","Help — walked S. Adams through Outlook calendar share, ~30 min","Help — investigated J. Lee's stuck OneDrive sync, rebuilt local cache, re-authenticated account, resynced 18GB folder structure, verified files (~2h)"
VG,2026-01-06,RE: Spam,Routine: Email / Outlook / spam,2.2,1.5,2.2,H1,routine > 1.5h cap (Email / Outlook / spam),Your 2.20h is above the 1.5h normal cap for this category — title needs more detail.,"what specific Outlook / Exchange action (profile rebuild, OST recreate, mail flow trace)","Outlook prompting for credentials — cleared cached creds, profile reconnected","Outlook profile broken on K. Lee — rebuilt MAPI profile, OST recreate (8GB resync), validated PSTs imported, calendar permissions restored (~3h)"
ORX,2026-01-23,Failed Patch Updates for Machines During APD – Manual Installation and Verification,Routine: Patch management / Windows Update,2.1,1.5,2.1,H1,routine > 1.5h cap (Patch management / Windows Update),Your 2.10h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
B2I,2026-01-28,RE: Set up outlook,Routine: Email / Outlook / spam,2.07,1.5,4.14,H1;H5,routine > 1.5h cap (Email / Outlook / spam) | 2 entries same ticket/day totalling 4.14h,Your 2.07h is above the 1.5h normal cap for this category — title needs more detail.,"what specific Outlook / Exchange action (profile rebuild, OST recreate, mail flow trace)","Outlook prompting for credentials — cleared cached creds, profile reconnected","Outlook profile broken on K. Lee — rebuilt MAPI profile, OST recreate (8GB resync), validated PSTs imported, calendar permissions restored (~3h)"
B2I,2026-01-28,RE: Set up outlook,Routine: Email / Outlook / spam,2.07,1.5,4.14,H1;H5,routine > 1.5h cap (Email / Outlook / spam) | 2 entries same ticket/day totalling 4.14h,Your 2.07h is above the 1.5h normal cap for this category — title needs more detail.,"what specific Outlook / Exchange action (profile rebuild, OST recreate, mail flow trace)","Outlook prompting for credentials — cleared cached creds, profile reconnected","Outlook profile broken on K. Lee — rebuilt MAPI profile, OST recreate (8GB resync), validated PSTs imported, calendar permissions restored (~3h)"
BWH,2026-03-28,Please help me - Myle Phan with VPN log in,Routine: Generic help / support,2.05,1.5,2.05,H1,routine > 1.5h cap (Generic help / support),Your 2.05h is above the 1.5h normal cap for this category — title needs more detail.,"must be replaced — ""Help"" / ""Support"" alone is never acceptable on entries > 0.5h. Title must say WHO you helped and WHAT was done.","Help — walked S. Adams through Outlook calendar share, ~30 min","Help — investigated J. Lee's stuck OneDrive sync, rebuilt local cache, re-authenticated account, resynced 18GB folder structure, verified files (~2h)"
BWH,2026-04-04,Help to make Newstar work,Routine: Generic help / support,1.92,1.5,3.42,H1,routine > 1.5h cap (Generic help / support),Your 1.92h is above the 1.5h normal cap for this category — title needs more detail.,"must be replaced — ""Help"" / ""Support"" alone is never acceptable on entries > 0.5h. Title must say WHO you helped and WHAT was done.","Help — walked S. Adams through Outlook calendar share, ~30 min","Help — investigated J. Lee's stuck OneDrive sync, rebuilt local cache, re-authenticated account, resynced 18GB folder structure, verified files (~2h)"
ORX,2026-01-14,ORX-Patch Redeployment and Remediation,Routine: Patch management / Windows Update,1.83,1.5,2.35,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.83h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-02-25,Failed Patches Updated on Machines: WKORX54  WKORX41  WKORX-01  WKORX-04  WKORX-05  and WKORX50,Routine: Patch management / Windows Update,1.78,1.5,1.78,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.78h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
ORX,2026-01-27,"Failed patches on the machines.(WKORX-08, WKORX-01, WKORX21, WKORX55, WKORX63, WKORX-04)",Routine: Patch management / Windows Update,1.55,1.5,1.55,H1,routine > 1.5h cap (Patch management / Windows Update),Your 1.55h is above the 1.5h normal cap for this category — title needs more detail.,"machine count, which patches failed, manual reinstall steps","Monthly patch run — 28 endpoints all green, no manual intervention needed",Patched 42 machines — 6 required manual WU service restart and reinstall of KB5034441; verified compliance in N-able dashboard before close (~2.5h)
